component_id,name,kind,project,backend,mapped_public_sources,covered,n_sources,category,mapped_to_source,note
origenemcp.tool.get_similar_entities_by_drug_chemblid,get_similar_entities_by_drug_chemblId,tool,OrigeneMCP,mcp,ncbi_eutils;chembl;opentargets,True,3,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_similar_entities_by_drug_name,get_similar_entities_by_drug_name,tool,OrigeneMCP,mcp,ncbi_eutils;openfda;opentargets,True,3,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_similar_entities_by_target_ensemblid,get_similar_entities_by_target_ensemblID,tool,OrigeneMCP,mcp,ensembl;ncbi_eutils;opentargets,True,3,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_similar_entities_by_target_name,get_similar_entities_by_target_name,tool,OrigeneMCP,mcp,ncbi_eutils;openfda;opentargets,True,3,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_target_interactions_by_ensemblid,get_target_interactions_by_ensemblID,tool,OrigeneMCP,mcp,ensembl;opentargets,True,2,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_target_safety_profile_by_ensemblid,get_target_safety_profile_by_ensemblID,tool,OrigeneMCP,mcp,ensembl;opentargets,True,2,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_variation_pmcid,get_variation_pmcid,tool,OrigeneMCP,mcp,ensembl;ncbi_eutils,True,2,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_variation_pmid,get_variation_pmid,tool,OrigeneMCP,mcp,ensembl;ncbi_eutils,True,2,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.pdb_get_pubmed_annotations,pdb_get_pubmed_annotations,tool,OrigeneMCP,mcp,ncbi_eutils;rcsb,True,2,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.pdb_get_structure,pdb_get_structure,tool,OrigeneMCP,mcp,rcsb,True,1,ROUTABLE - equivalent live public source available,True,
biomni.tool.query_pubmed,query_pubmed,tool,Biomni,python,ncbi_eutils,True,1,ROUTABLE - equivalent live public source available,True,
stella.tool.test_biomedical_literature_analyzer,test_biomedical_literature_analyzer,tool,STELLA,python,,False,0,MISSING_DEPS - third-party imports absent,False,
biomni.tool.analyze_cell_senescence_and_apoptosis,analyze_cell_senescence_and_apoptosis,tool,Biomni,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
biomni.tool.analyze_copy_number_purity_ploidy_and_focal_events,analyze_copy_number_purity_ploidy_and_focal_events,tool,Biomni,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
biomni.tool.analyze_ddr_network_in_cancer,analyze_ddr_network_in_cancer,tool,Biomni,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
biomni.tool.detect_and_annotate_somatic_mutations,detect_and_annotate_somatic_mutations,tool,Biomni,python,clinicaltrials,True,1,ROUTABLE - equivalent live public source available,True,
biomni.tool.detect_and_characterize_structural_variations,detect_and_characterize_structural_variations,tool,Biomni,python,ncbi_eutils,True,1,ROUTABLE - equivalent live public source available,True,
biomni.tool.perform_gene_expression_nmf_analysis,perform_gene_expression_nmf_analysis,tool,Biomni,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
biomni.tool.analyze_ebv_antibody_titers,analyze_ebv_antibody_titers,tool,Biomni,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
stella.tool.extract_seq_from_structure,extract_seq_from_structure,tool,STELLA,python,rcsb,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_functional_enrichment,get_functional_enrichment,tool,OrigeneMCP,mcp,uniprot;ncbi_eutils;clinicaltrials;kegg,True,4,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_gene_centric_by_accession,get_gene_centric_by_accession,tool,OrigeneMCP,mcp,uniprot,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_gene_centric_by_proteome,get_gene_centric_by_proteome,tool,OrigeneMCP,mcp,uniprot,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_proteome_by_id,get_proteome_by_id,tool,OrigeneMCP,mcp,uniprot,True,1,ROUTABLE - equivalent live public source available,True,
stella.tool.molecular_docking_tool,molecular_docking_tool,tool,STELLA,python,rcsb,True,1,ROUTABLE - equivalent live public source available,True,
stella.tool.run_boltz_protein_structure_prediction,run_boltz_protein_structure_prediction,tool,STELLA,python,,False,0,MISSING_DEPS - third-party imports absent,False,
stella.tool.run_chroma_redesign,run_chroma_redesign,tool,STELLA,python,rcsb,True,1,ROUTABLE - equivalent live public source available,True,
stella.tool.run_foldseek_search,run_foldseek_search,tool,STELLA,python,rcsb,True,1,ROUTABLE - equivalent live public source available,True,
stella.tool.run_foldx_mutation_prediction,run_foldx_mutation_prediction,tool,STELLA,python,,False,0,MISSING_DEPS - third-party imports absent,False,
stella.tool.run_ligandmpnn_redesign,run_ligandmpnn_redesign,tool,STELLA,python,rcsb,True,1,ROUTABLE - equivalent live public source available,True,
stella.tool.run_rosetta_mutation_prediction,run_rosetta_mutation_prediction,tool,STELLA,python,,False,0,MISSING_DEPS - third-party imports absent,False,
origenemcp.tool.search_proteomes,search_proteomes,tool,OrigeneMCP,mcp,uniprot,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.stream_proteomes,stream_proteomes,tool,OrigeneMCP,mcp,uniprot,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_cell_line_by_id,get_cell_line_by_id,tool,OrigeneMCP,mcp,chembl,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.tcga_immune_correlation_analysis,tcga_immune_correlation_analysis,tool,OrigeneMCP,subprocess,,False,0,"NEEDS_UPSTREAM_CHECKOUT - federated, project not installed",False,
biomni.tool.bayesian_finemapping_with_deep_vi,bayesian_finemapping_with_deep_vi,tool,Biomni,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
origenemcp.tool.check_genome_accessions,check_genome_accessions,tool,OrigeneMCP,mcp,ncbi_eutils,True,1,ROUTABLE - equivalent live public source available,True,
stella.tool.clingen_search,clingen_search,tool,STELLA,python,,False,0,MISSING_DEPS - third-party imports absent,False,
origenemcp.tool.clinvar_query_variant_significance,clinvar_query_variant_significance,tool,OrigeneMCP,mcp,ncbi_eutils,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.depmap_comprehensive_analysis,depmap_comprehensive_analysis,tool,OrigeneMCP,mcp,,False,0,NEEDS_DISPATCHER - MCP client not bound,False,
origenemcp.tool.drug_pharmacogenomics_data,drug_pharmacogenomics_data,tool,OrigeneMCP,mcp,chembl;opentargets,True,2,ROUTABLE - equivalent live public source available,True,
biomni.tool.generate_gene_embeddings_with_esm_models,generate_gene_embeddings_with_ESM_models,tool,Biomni,python,ensembl;clinicaltrials,True,2,ROUTABLE - equivalent live public source available,True,
biomni.tool.generate_transcriptformer_embeddings,generate_transcriptformer_embeddings,tool,Biomni,python,ensembl;clinicaltrials,True,2,ROUTABLE - equivalent live public source available,True,
genomas.tool.get_geo_series_access,get_GEO_series_access,tool,GenoMAS,python,ncbi_eutils,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_alignment_region,get_alignment_region,tool,OrigeneMCP,mcp,ensembl;clinicaltrials,True,2,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_assembly_region_info,get_assembly_region_info,tool,OrigeneMCP,mcp,ensembl,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_chromosome_sequence,get_chromosome_sequence,tool,OrigeneMCP,mcp,,False,0,NEEDS_DISPATCHER - MCP client not bound,False,
origenemcp.tool.get_cytoband,get_cytoband,tool,OrigeneMCP,mcp,,False,0,NEEDS_DISPATCHER - MCP client not bound,False,
origenemcp.tool.get_ga4gh_referencesets,get_ga4gh_referencesets,tool,OrigeneMCP,mcp,ensembl,True,1,ROUTABLE - equivalent live public source available,True,
