component_id,name,kind,project,omics_type,backend,lifecycle_state,executable_now,blocking_category,blocking_reason,unblocking_action,license_spdx,integration_mode,n_missing_python,missing_python,commit,source_path
biomni.tool.prepare_input_for_nnunet,prepare_input_for_nnunet,tool,Biomni,imaging,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/bioimaging.py
biomni.tool.quantify_amyloid_beta_plaques,quantify_amyloid_beta_plaques,tool,Biomni,clinical,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/physiology.py
biomni.tool.quantify_and_cluster_cell_motility,quantify_and_cluster_cell_motility,tool,Biomni,scrnaseq,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/cell_biology.py
biomni.tool.quantify_biofilm_biomass_crystal_violet,quantify_biofilm_biomass_crystal_violet,tool,Biomni,wgs,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/microbiology.py
biomni.tool.quantify_cell_cycle_phases_from_microscopy,quantify_cell_cycle_phases_from_microscopy,tool,Biomni,scrnaseq,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/cell_biology.py
biomni.tool.quantify_corneal_nerve_fibers,quantify_corneal_nerve_fibers,tool,Biomni,imaging,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/pathology.py
biomni.tool.query_alphafold,query_alphafold,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_arxiv,query_arxiv,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/literature.py
biomni.tool.query_cbioportal,query_cbioportal,tool,Biomni,clinical,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_chatnt,query_chatnt,tool,Biomni,multiomics,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/systems_biology.py
biomni.tool.query_chembl,query_chembl,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_clinicaltrials,query_clinicaltrials,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_clinvar,query_clinvar,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_dailymed,query_dailymed,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_dbsnp,query_dbsnp,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_drug_interactions,query_drug_interactions,tool,Biomni,chemistry,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/pharmacology.py
biomni.tool.query_emdb,query_emdb,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_encode,query_encode,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_ensembl,query_ensembl,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_fda_adverse_events,query_fda_adverse_events,tool,Biomni,chemistry,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/pharmacology.py
biomni.tool.query_geo,query_geo,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_gnomad,query_gnomad,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_gtopdb,query_gtopdb,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
biomni.tool.query_gwas_catalog,query_gwas_catalog,tool,Biomni,general,python,UNAVAILABLE,False,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',pip install the upstream project or add its checkout to sys.path,Apache-2.0,vendor,0,,,Biomni/biomni/tool/tool_description/database.py
