component_id,name,kind,project,backend,lifecycle_state,executable_now,executable_via_public_source,fetchable,mapped_public_sources,category,blocking_reason,license_spdx
origenemcp.tool.get_publications_by_disease_efoid,get_publications_by_disease_efoId,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ncbi_eutils;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_publications_by_disease_name,get_publications_by_disease_name,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ncbi_eutils;openfda;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_publications_by_drug_chemblid,get_publications_by_drug_chemblId,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ncbi_eutils;chembl;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_publications_by_drug_name,get_publications_by_drug_name,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ncbi_eutils;openfda;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_publications_by_target_ensemblid,get_publications_by_target_ensemblID,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ensembl;ncbi_eutils;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_publications_by_target_name,get_publications_by_target_name,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ncbi_eutils;openfda;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
geneagent.tool.get_pubmed_articles,get_pubmed_articles,tool,GeneAgent,python,UNAVAILABLE,False,True,False,ncbi_eutils,ROUTABLE - equivalent live public source available,import failed: ModuleNotFoundError: No module named 'geneagent',NLM-Public-Domain
origenemcp.tool.get_similar_entities_by_disease_efoid,get_similar_entities_by_disease_efoId,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ncbi_eutils;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_similar_entities_by_disease_name,get_similar_entities_by_disease_name,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ncbi_eutils;openfda;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_similar_entities_by_drug_chemblid,get_similar_entities_by_drug_chemblId,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ncbi_eutils;chembl;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
